,auto_classifier_acc,encoding_dim,neural_net_acc
0,0.9428571428571428,33,0.8571428571428571
1,0.9142857142857143,32,0.8571428571428571
2,0.8571428571428571,31,0.8571428571428571
3,0.8571428571428571,30,0.8571428571428571
4,0.9428571428571428,29,0.8571428571428571
5,0.9428571428571428,28,0.8571428571428571
6,0.9142857142857143,27,0.8571428571428571
7,0.8571428571428571,26,0.8571428571428571
8,0.9428571428571428,25,0.8571428571428571
9,0.9142857142857143,24,0.8571428571428571
10,0.9142857142857143,23,0.8571428571428571
11,0.9428571428571428,22,0.8571428571428571
12,0.9428571428571428,21,0.8571428571428571
13,0.8571428571428571,20,0.8571428571428571
14,0.9142857142857143,19,0.8571428571428571
15,0.9428571428571428,18,0.8571428571428571
16,0.8285714285714286,17,0.8571428571428571
17,0.8857142857142857,16,0.8571428571428571
18,0.8857142857142857,15,0.8571428571428571
19,0.8857142857142857,14,0.8571428571428571
20,0.8857142857142857,13,0.8571428571428571
21,0.9142857142857143,12,0.8571428571428571
22,0.8857142857142857,11,0.8571428571428571
23,0.9428571428571428,10,0.8571428571428571
24,0.9428571428571428,9,0.8571428571428571
25,0.8857142857142857,8,0.8571428571428571
26,0.8285714285714286,7,0.8571428571428571
27,0.9142857142857143,6,0.8571428571428571
28,0.8857142857142857,5,0.8571428571428571
29,0.9142857142857143,4,0.8571428571428571
30,0.8571428571428571,3,0.8571428571428571
31,0.8571428571428571,2,0.8571428571428571
32,0.8571428571428571,1,0.8571428571428571
