,auto_classifier_acc,encoding_dim,neural_net_acc
0,0.9395604395604396,24,0.945054945054945
1,0.9395604395604396,23,0.945054945054945
2,0.9358974358974359,22,0.945054945054945
3,0.9597069597069597,21,0.945054945054945
4,0.9285714285714286,20,0.945054945054945
5,0.9377289377289377,19,0.945054945054945
6,0.9377289377289377,18,0.945054945054945
7,0.8992673992673993,17,0.945054945054945
8,0.924908424908425,16,0.945054945054945
9,0.9194139194139194,15,0.945054945054945
10,0.9175824175824175,14,0.945054945054945
11,0.9065934065934066,13,0.945054945054945
12,0.9065934065934066,12,0.945054945054945
13,0.891941391941392,11,0.945054945054945
14,0.9212454212454212,10,0.945054945054945
15,0.9230769230769231,9,0.945054945054945
16,0.9285714285714286,8,0.945054945054945
17,0.9120879120879121,7,0.945054945054945
18,0.8827838827838828,6,0.945054945054945
19,0.8278388278388278,5,0.945054945054945
20,0.8498168498168498,4,0.945054945054945
21,0.8296703296703297,3,0.945054945054945
22,0.7747252747252747,2,0.945054945054945
23,0.6318681318681318,1,0.945054945054945
