,auto_classifier_acc,encoding_dim,neural_net_acc
0,0.9182389884624841,40,0.9119496802863835
1,0.8993710699321339,39,0.9119496802863835
2,0.9371069186138656,38,0.9119496802863835
3,0.9119496802863835,37,0.9119496802863835
4,0.9119496859094631,36,0.9119496802863835
5,0.9245282966385847,35,0.9119496802863835
6,0.9371069126159141,34,0.9119496802863835
7,0.9308176044398134,33,0.9119496802863835
8,0.9182389880876122,32,0.9119496802863835
9,0.9119496802863835,31,0.9119496802863835
10,0.8993710695572619,30,0.9119496802863835
11,0.9119496799115115,29,0.9119496802863835
12,0.930817610812637,28,0.9119496802863835
13,0.9308176044398134,27,0.9119496802863835
14,0.9245283022616644,26,0.9119496802863835
15,0.9056603721102828,25,0.9119496802863835
16,0.9245282966385847,24,0.9119496802863835
17,0.930817610437765,23,0.9119496802863835
18,0.8867924535799326,22,0.9119496802863835
19,0.9119496859094631,21,0.9119496802863835
20,0.9182389884624841,20,0.9119496802863835
21,0.8993710699321339,19,0.9119496802863835
22,0.9182389880876122,18,0.9119496802863835
23,0.8993710639341822,17,0.9119496802863835
24,0.8993710699321339,16,0.9119496802863835
25,0.8930817613811612,15,0.9119496802863835
26,0.9182389888373561,14,0.9119496802863835
27,0.9182389937106918,13,0.9119496802863835
28,0.9308176048146853,12,0.9119496802863835
29,0.8993710639341822,11,0.9119496802863835
30,0.9056603721102828,10,0.9119496802863835
31,0.886792447581981,9,0.9119496802863835
32,0.8930817613811612,8,0.9119496802863835
33,0.8679245234285511,7,0.9119496802863835
34,0.8805031397807523,6,0.9119496802863835
35,0.8742138312297797,5,0.9119496802863835
36,0.7987421398642678,4,0.9119496802863835
37,0.761006290432792,3,0.9119496802863835
38,0.6540880529385693,2,0.9119496802863835
39,0.25786163447038185,1,0.9119496802863835
